"Load Name","PTID","Subzone","Zone"
"ECESISVT_VL_DUNWOODI",994946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VL_DUNWOODI2",972946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VL_DUNWOODI3",950946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VL_GENESEE",980946,"NMPC GENESEE","GENESE"
"ECESISVT_VL_GENESEE2",958946,"NMPC GENESEE","GENESE"
"ECESISVT_VL_GENESEE3",936946,"NMPC GENESEE","GENESE"
"ECESISVT_VL_HUDSONVY",990946,"CENT HUD HUDSON VLY","HUD VL"
"ECESISVT_VL_HUDSONVY2",968946,"CON ED HUDSON VLY","HUD VL"
"ECESISVT_VL_HUDSONVY3",946946,"CON ED HUDSON VLY","HUD VL"
"ECESISVT_VL_LONG-ISL",998946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VL_LONG-ISL2",976946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VL_LONG-ISL3",954946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VL_MILLWOOD",992946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VL_MILLWOOD2",970946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VL_MILLWOOD3",948946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VL_MOHAWKVY",986946,"CENT HUD MOHAWK VLY","MHK VL"
"ECESISVT_VL_MOHAWKVY2",964946,"NMPC MOHAWK VLY","MHK VL"
"ECESISVT_VL_MOHAWKVY3",942946,"NMPC MOHAWK VLY","MHK VL"
"ECESISVT_VL_NORTH",984946,"NMPC NORTH","NORTH"
"ECESISVT_VL_NORTH2",962946,"NMPC NORTH","NORTH"
"ECESISVT_VL_NORTH3",940946,"NMPC NORTH","NORTH"
"ECESISVT_VL_NY-CITY",996946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VL_NY-CITY2",974946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VL_NY-CITY3",952946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VL_WEST",978946,"NMPC WEST","WEST"
"ECESISVT_VL_WEST2",956946,"NMPC WEST","WEST"
"ECESISVT_VL_WEST3",934946,"NMPC WEST","WEST"
"ECESISVT_VS_CAPITAL",989946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VS_CAPITAL2",967946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VS_CAPITAL3",945946,"NMPC CAPITAL","CAPITL"
"ECESISVT_VS_CENTRAL",983946,"NMPC CENTRAL","CENTRL"
"ECESISVT_VS_CENTRAL2",961946,"NMPC CENTRAL","CENTRL"
"ECESISVT_VS_CENTRAL3",939946,"NMPC CENTRAL","CENTRL"
"ECESISVT_VS_DUNWOODI",995946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VS_DUNWOODI2",973946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VS_DUNWOODI3",951946,"CON ED DUNWOODIE","DUNWOD"
"ECESISVT_VS_GENESEE",981946,"NMPC GENESEE","GENESE"
"ECESISVT_VS_GENESEE2",959946,"NMPC GENESEE","GENESE"
"ECESISVT_VS_GENESEE3",937946,"NMPC GENESEE","GENESE"
"ECESISVT_VS_HUDSONVY",991946,"CENT HUD HUDSON VLY","HUD VL"
"ECESISVT_VS_HUDSONVY2",969946,"CON ED HUDSON VLY","HUD VL"
"ECESISVT_VS_HUDSONVY3",947946,"CON ED HUDSON VLY","HUD VL"
"ECESISVT_VS_LONG-ISL",999946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VS_LONG-ISL2",977946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VS_LONG-ISL3",955946,"LIPA LONG ISLAND","LONGIL"
"ECESISVT_VS_MILLWOOD",993946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VS_MILLWOOD2",971946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VS_MILLWOOD3",949946,"CON ED MILLWOOD","MILLWD"
"ECESISVT_VS_MOHAWKVY",987946,"CENT HUD MOHAWK VLY","MHK VL"
"ECESISVT_VS_MOHAWKVY2",965946,"NMPC MOHAWK VLY","MHK VL"
"ECESISVT_VS_MOHAWKVY3",943946,"NMPC MOHAWK VLY","MHK VL"
"ECESISVT_VS_NORTH",985946,"NMPC NORTH","NORTH"
"ECESISVT_VS_NORTH2",963946,"NMPC NORTH","NORTH"
"ECESISVT_VS_NORTH3",941946,"NMPC NORTH","NORTH"
"ECESISVT_VS_NY-CITY",997946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VS_NY-CITY2",975946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VS_NY-CITY3",953946,"CON ED NY CITY","N.Y.C."
"ECESISVT_VS_WEST",979946,"NMPC WEST","WEST"
"ECESISVT_VS_WEST2",957946,"NMPC WEST","WEST"
"ECESISVT_VS_WEST3",935946,"NMPC WEST","WEST"
"ECNY_CE_DUNWOODI",109210,"CON ED DUNWOODIE","DUNWOD"
"ECNY_CE_MILLWOOD",108210,"CON ED MILLWOOD","MILLWD"
"ECNY_CE_NY-CITY",110210,"CON ED NY CITY","N.Y.C."
"ECNY_NM_CAPITAL",306210,"NMPC CAPITAL","CAPITL"
"ECNY_NM_CENTRAL",303210,"NMPC CENTRAL","CENTRL"
"ECNY_NM_GENESEE",302210,"NMPC GENESEE","GENESE"
"ECNY_NM_MOHAWKVY",305210,"NMPC MOHAWK VLY","MHK VL"
"ECNY_NM_NORTH",304210,"NMPC NORTH","NORTH"
"ECNY_NM_WEST",301210,"NMPC WEST","WEST"
"ECNY_NY_CAPITAL",406210,"NYSEG CAPITAL","CAPITL"
"ECNY_NY_CENTRAL",403210,"NYSEG CENTRAL","CENTRL"
"ECNY_NY_HUDSONVY",407210,"NYSEG HUDSON VLY","HUD VL"
"ECNY_NY_MILLWOOD",408210,"NYSEG MILLWOOD","MILLWD"
"ECNY_NY_MOHAWKVY",405210,"NYSEG MOHAWK VLY","MHK VL"
"ECNY_NY_NORTH",404210,"NYSEG NORTH","NORTH"
"ECNY_NY_WEST",401210,"NYSEG WEST","WEST"
"ECNY_PCLB_CAPITL01",905210,"NMPC CAPITAL","CAPITL"
"ECNY_PCLB_CENTRL01",903210,"NMPC CENTRAL","CENTRL"
"ECNY_PCLB_GENESE01",902210,"NMPC GENESEE","GENESE"
"ECNY_PCLB_MHK VL01",904210,"NMPC MOHAWK VLY","MHK VL"
"ECNY_PCLB_WEST01",901210,"NMPC WEST","WEST"
"ECNY_RG_GENESEE",802210,"RG&E GENESEE","GENESE"
"ECNY-RES_NM_CAPITAL",306281,"NMPC CAPITAL","CAPITL"
"ECNY-RES_NM_CENTRAL",303281,"NMPC CENTRAL","CENTRL"
"ECNY-RES_NM_GENESEE",302281,"NMPC GENESEE","GENESE"
"ECNY-RES_NM_MOHAWKVY",305281,"NMPC MOHAWK VLY","MHK VL"
"ECNY-RES_NM_NORTH",304281,"NMPC NORTH","NORTH"
"ECNY-RES_NM_WEST",301281,"NMPC WEST","WEST"
"ECNY_REN_NM_CAPITAL",306344,"NMPC CAPITAL","CAPITL"
"ECNY_REN_NM_CENTRAL",303344,"NMPC CENTRAL","CENTRL"
"ECNY_REN_NM_GENESEE",302344,"NMPC GENESEE","GENESE"
"ECNY_REN_NM_MOHAWKVLY",305344,"NMPC MOHAWK VLY","MHK VL"
"ECNY_REN_NM_NORTH",304344,"NMPC NORTH","NORTH"
"ECNY_REN_NM_WEST",301344,"NMPC WEST","WEST"
"ECNY_REN_NY_CAPITAL",406344,"NYSEG CAPITAL","CAPITL"
"ECNY_REN_NY_CENTRAL",403344,"NYSEG CENTRAL","CENTRL"
"ECNY_REN_NY_HUDSONVY",407344,"NYSEG HUDSON VLY","HUD VL"
